llamada_id,fecha,hora,franja_horaria,dia_semana,cliente,canal,agente_id,agente_antiguedad_meses,duracion_llamada,tiempo_espera,agentes_disponibles,motivo_llamada,fcr,escalada,csat,abandono
LC000090,2025-07-02,06:09,Noche,Miercoles,Telco,Outbound,AG020,36,333.4,12.7,10,Cancelacion,1.0,0,,0
LC000091,2025-07-02,06:38,Noche,Miercoles,Banca,Outbound,AG018,33,315.1,5.7,6,Cancelacion,1.0,0,,0
LC000092,2025-07-02,06:39,Noche,Miercoles,Telco,Inbound,AG004,16,328.8,27.2,9,Facturacion,1.0,0,3.5,0
LC000093,2025-07-02,07:11,Manana,Miercoles,Banca,Inbound,AG036,34,289.1,6.1,11,Soporte tecnico,1.0,0,,0
LC000094,2025-07-02,07:19,Manana,Miercoles,Telco,Outbound,AG006,36,0.0,5.0,9,Facturacion,,0,,1
LC000095,2025-07-02,07:45,Manana,Miercoles,Telco,Inbound,AG003,45,180.1,20.4,4,Soporte tecnico,1.0,0,2.5,0
LC000096,2025-07-02,07:47,Manana,Miercoles,Retail,Inbound,AG018,33,116.4,5.0,11,Facturacion,1.0,0,,0
LC000097,2025-07-02,08:14,Manana,Miercoles,Telco,Inbound,AG040,40,0.0,40.8,2,Soporte tecnico,,0,,1
LC000098,2025-07-02,08:40,Manana,Miercoles,Retail,Inbound,AG018,33,446.6,6.2,2,Soporte tecnico,1.0,0,4.0,0
LC000099,2025-07-02,09:06,Manana,Miercoles,Telco,Inbound,AG023,36,0.0,64.4,1,Facturacion,,0,,1
LC000100,2025-07-02,09:23,Manana,Miercoles,Telco,Inbound,AG035,1,451.9,64.4,3,Facturacion,,0,,0
LC000101,2025-07-02,09:31,Manana,Miercoles,Retail,Inbound,AG006,36,213.6,15.9,3,Cancelacion,1.0,0,,0
LC000102,2025-07-02,09:52,Manana,Miercoles,Telco,Inbound,AG026,27,0.0,199.1,3,Soporte tecnico,,0,,1
LC000103,2025-07-02,09:53,Manana,Miercoles,Retail,Inbound,AG021,6,56.4,9.8,3,Otros,1.0,0,4.0,0
LC000104,2025-07-02,10:59,Manana,Miercoles,Banca,Inbound,AG024,33,330.8,15.7,4,Otros,1.0,0,5.0,0
LC000105,2025-07-02,11:01,Manana,Miercoles,Telco,Outbound,AG015,22,162.5,32.5,3,Facturacion,0.0,0,5.0,0
LC000106,2025-07-02,11:31,Manana,Miercoles,Banca,Inbound,AG027,11,386.0,69.2,4,Soporte tecnico,1.0,0,,0
LC000107,2025-07-02,11:34,Manana,Miercoles,Telco,Chat,AG032,47,376.3,27.4,3,Cancelacion,1.0,0,3.5,0
LC000108,2025-07-02,11:52,Manana,Miercoles,Telco,Inbound,AG012,3,0.0,149.0,1,Soporte tecnico,,0,,1
LC000109,2025-07-02,11:56,Manana,Miercoles,Banca,Inbound,AG005,13,473.4,5.0,3,Otros,1.0,0,4.0,0
LC000110,2025-07-02,12:04,Manana,Miercoles,Telco,Outbound,AG007,36,167.9,5.0,1,Soporte tecnico,1.0,0,4.5,0
LC000111,2025-07-02,12:05,Manana,Miercoles,Telco,Inbound,AG022,15,449.3,5.0,1,Soporte tecnico,0.0,0,,0
LC000112,2025-07-02,12:07,Manana,Miercoles,Retail,Inbound,AG027,11,0.0,5.0,2,Cancelacion,,0,,1
LC000113,2025-07-02,12:30,Manana,Miercoles,Retail,Inbound,AG015,22,219.9,7.0,5,Facturacion,1.0,0,,0
LC000114,2025-07-02,12:42,Manana,Miercoles,Banca,Inbound,AG039,6,89.7,27.7,5,Soporte tecnico,1.0,0,2.0,0
LC000115,2025-07-02,12:57,Manana,Miercoles,Banca,Inbound,AG045,4,488.0,175.0,1,Facturacion,0.0,0,,0
LC000116,2025-07-02,13:14,Tarde,Miercoles,Banca,Inbound,AG035,1,302.3,18.3,5,Facturacion,1.0,0,5.0,0
LC000117,2025-07-02,13:54,Tarde,Miercoles,Banca,Inbound,AG026,27,0.0,5.0,12,Facturacion,,0,,1
LC000118,2025-07-02,14:04,Tarde,Miercoles,Telco,Chat,AG023,36,191.7,41.7,3,Soporte tecnico,1.0,0,,0
LC000119,2025-07-02,14:17,Tarde,Miercoles,Retail,Outbound,AG013,27,124.2,14.9,6,Otros,1.0,0,3.0,0
LC000120,2025-07-02,14:54,Tarde,Miercoles,Telco,Inbound,AG026,27,112.1,5.0,9,Facturacion,1.0,0,2.0,0
LC000121,2025-07-02,15:02,Tarde,Miercoles,Banca,Chat,AG003,45,175.4,5.0,5,Cancelacion,1.0,1,3.5,0
LC000122,2025-07-02,15:06,Tarde,Miercoles,Retail,Inbound,AG029,33,301.5,5.0,11,Facturacion,1.0,0,4.5,0
LC000123,2025-07-02,15:15,Tarde,Miercoles,Banca,Inbound,AG002,22,298.9,10.9,7,Facturacion,1.0,0,4.0,0
LC000124,2025-07-02,15:18,Tarde,Miercoles,Retail,Outbound,AG028,23,309.8,,14,Otros,1.0,0,3.0,0
LC000125,2025-07-02,15:35,Tarde,Miercoles,Telco,Inbound,AG023,36,296.2,5.0,13,Facturacion,1.0,0,5.0,0
LC000126,2025-07-02,15:43,Tarde,Miercoles,Telco,Inbound,AG036,34,137.2,5.0,14,Facturacion,1.0,0,4.5,0
LC000127,2025-07-02,15:44,Tarde,Miercoles,Retail,Inbound,AG006,36,0.0,5.0,13,Facturacion,,0,,1
LC000128,2025-07-02,15:46,Tarde,Miercoles,Telco,Inbound,AG011,32,281.8,6.7,8,Facturacion,1.0,0,,0
LC000129,2025-07-02,15:55,Tarde,Miercoles,Banca,Inbound,AG038,18,234.2,62.6,9,Soporte tecnico,1.0,0,,0
LC000130,2025-07-02,15:55,Tarde,Miercoles,Telco,Outbound,AG034,31,0.0,7.4,12,Facturacion,,0,,1
LC000131,2025-07-02,15:58,Tarde,Miercoles,Banca,Inbound,AG017,5,243.0,28.2,7,Soporte tecnico,1.0,0,3.5,0
LC000132,2025-07-02,16:13,Tarde,Miercoles,Banca,Inbound,AG003,45,255.0,6.8,4,Soporte tecnico,1.0,0,,0
LC000133,2025-07-02,16:18,Tarde,Miercoles,Telco,Inbound,AG044,30,196.5,52.5,5,Soporte tecnico,1.0,0,4.5,0
LC000134,2025-07-02,16:22,Tarde,Miercoles,Banca,Outbound,AG034,31,543.7,12.1,13,Otros,1.0,0,2.5,0
LC000135,2025-07-02,17:12,Tarde,Miercoles,Banca,Inbound,AG022,15,125.1,5.0,11,Facturacion,0.0,0,4.5,0
LC000136,2025-07-02,17:17,Tarde,Miercoles,Telco,Inbound,AG029,33,278.4,30.6,5,Soporte tecnico,1.0,0,3.5,0
LC000137,2025-07-02,17:24,Tarde,Miercoles,Banca,Outbound,AG029,33,220.0,58.0,4,Soporte tecnico,1.0,0,,0
LC000138,2025-07-02,17:54,Tarde,Miercoles,Banca,Inbound,AG005,13,0.0,5.1,10,Facturacion,,0,,1
LC000139,2025-07-02,18:12,Tarde,Miercoles,Telco,Inbound,AG010,14,0.0,20.4,10,Otros,,0,,1
LC000140,2025-07-02,18:27,Tarde,Miercoles,Banca,Inbound,AG010,14,0.0,7.4,9,Soporte tecnico,,0,,1
LC000141,2025-07-02,18:48,Tarde,Miercoles,Telco,Inbound,AG009,23,298.5,36.5,4,Facturacion,1.0,0,5.0,0
LC000142,2025-07-02,18:52,Tarde,Miercoles,Telco,Inbound,AG021,6,214.6,9.3,4,Facturacion,1.0,0,4.5,0
LC000143,2025-07-02,19:01,Tarde,Miercoles,Banca,Inbound,AG013,27,150.3,25.6,5,Facturacion,1.0,1,5.0,0
LC000144,2025-07-02,19:04,Tarde,Miercoles,Banca,Inbound,AG010,14,375.8,20.0,12,Otros,1.0,1,5.0,0
LC000145,2025-07-02,19:06,Tarde,Miercoles,Retail,Chat,AG038,18,0.0,22.4,3,Cancelacion,,0,,1
LC000146,2025-07-02,19:24,Tarde,Miercoles,Telco,Inbound,AG011,32,255.6,12.5,14,Soporte tecnico,1.0,1,4.5,0
LC000147,2025-07-02,19:35,Tarde,Miercoles,Telco,Inbound,AG004,16,406.7,13.0,7,Facturacion,1.0,0,3.5,0
LC000148,2025-07-02,19:46,Tarde,Miercoles,Telco,Outbound,AG031,46,343.5,15.7,14,Soporte tecnico,0.0,0,2.5,0
LC000149,2025-07-02,20:12,Noche,Miercoles,Banca,Inbound,AG034,31,0.0,5.9,5,Otros,,0,,1
LC000150,2025-07-02,20:25,Noche,Miercoles,Telco,Inbound,AG042,47,128.9,5.0,6,Soporte tecnico,1.0,0,,0
LC000151,2025-07-02,21:25,Noche,Miercoles,Banca,Inbound,AG035,1,149.9,11.6,11,Facturacion,1.0,0,,0
LC000152,2025-07-02,22:05,Noche,Miercoles,Telco,Inbound,AG039,6,543.6,19.0,9,Facturacion,1.0,0,,0
LC000153,2025-07-02,22:17,Noche,Miercoles,Retail,Inbound,AG039,6,112.5,5.0,9,Facturacion,1.0,0,,0
LC000154,2025-07-02,22:42,Noche,Miercoles,Banca,Inbound,AG033,29,203.9,23.5,5,Facturacion,1.0,1,5.0,0
LC000155,2025-07-02,22:49,Noche,Miercoles,Retail,Outbound,AG008,43,125.7,,9,Cancelacion,1.0,0,3.5,0
LC000156,2025-07-02,23:21,Noche,Miercoles,Telco,Inbound,AG032,47,321.4,47.8,11,Facturacion,1.0,0,4.0,0
LC000157,2025-07-02,23:22,Noche,Miercoles,Banca,Inbound,AG033,29,0.0,12.6,14,Otros,,0,,1
LC000158,2025-07-02,23:30,Noche,Miercoles,Banca,Inbound,AG008,43,185.9,5.0,13,Soporte tecnico,1.0,0,,0
LC000159,2025-07-02,23:38,Noche,Miercoles,Banca,Outbound,AG014,19,6960.9,5.3,14,Soporte tecnico,1.0,1,3.5,0
LC000160,2025-07-02,23:39,Noche,Miercoles,Telco,Inbound,AG034,31,131.1,14.9,12,Soporte tecnico,1.0,0,,0
LC000161,2025-07-03,00:11,Noche,Jueves,Retail,Outbound,AG008,43,220.6,7.7,11,Facturacion,1.0,0,4.5,0
LC000162,2025-07-03,00:22,Noche,Jueves,Telco,Outbound,AG042,47,0.0,36.9,12,Facturacion,,0,,1
LC000163,2025-07-03,00:49,Noche,Jueves,Telco,Inbound,AG007,36,229.0,19.4,3,Otros,1.0,1,5.0,0
LC000164,2025-07-03,01:02,Noche,Jueves,Banca,Inbound,AG013,27,78.2,22.7,11,Soporte tecnico,1.0,0,,0
LC000165,2025-07-03,01:12,Noche,Jueves,Banca,Inbound,AG021,6,193.7,5.0,5,Facturacion,1.0,0,,0
LC000166,2025-07-03,01:19,Noche,Jueves,Banca,Inbound,AG032,47,349.9,11.2,8,Facturacion,1.0,0,2.0,0
LC000167,2025-07-03,01:23,Noche,Jueves,Telco,Inbound,AG011,32,0.0,142.8,4,Facturacion,,0,,1
LC000168,2025-07-03,01:47,Noche,Jueves,Telco,Chat,AG014,19,357.4,21.0,6,Facturacion,1.0,0,3.0,0
LC000169,2025-07-03,02:12,Noche,Jueves,Banca,Outbound,AG011,32,840.1,5.0,5,Facturacion,1.0,0,5.0,0
LC000170,2025-07-03,02:13,Noche,Jueves,Telco,Inbound,AG002,22,362.5,,8,Facturacion,0.0,0,,0
LC000171,2025-07-03,02:18,Noche,Jueves,Retail,Outbound,AG034,31,0.0,19.0,3,Cancelacion,,0,,1
LC000172,2025-07-03,02:34,Noche,Jueves,Retail,Outbound,AG044,30,187.4,22.5,6,Otros,1.0,0,4.5,0
LC000173,2025-07-03,02:49,Noche,Jueves,Banca,Inbound,AG017,5,4518.6,14.8,3,Facturacion,1.0,0,,0
LC000174,2025-07-03,02:53,Noche,Jueves,Telco,Inbound,AG014,19,577.5,23.4,3,Soporte tecnico,1.0,0,3.5,0
LC000175,2025-07-03,03:17,Noche,Jueves,Retail,Inbound,AG025,24,87.4,5.0,6,Facturacion,1.0,0,4.5,0
LC000176,2025-07-03,03:51,Noche,Jueves,Telco,Inbound,AG027,11,268.6,5.0,7,Facturacion,0.0,0,4.0,0
LC000177,2025-07-03,03:52,Noche,Jueves,Telco,Inbound,AG008,43,0.0,5.0,14,Soporte tecnico,,0,,1
LC000178,2025-07-03,04:08,Noche,Jueves,Telco,Chat,AG017,5,220.1,18.9,9,Otros,1.0,0,,0
LC000179,2025-07-03,04:17,Noche,Jueves,Telco,Inbound,AG005,13,351.4,18.0,10,Facturacion,1.0,0,4.5,0
LC000180,2025-07-03,04:18,Noche,Jueves,Retail,Outbound,AG012,3,197.7,17.1,5,Soporte tecnico,1.0,0,4.0,0
LC000181,2025-07-03,04:21,Noche,Jueves,Banca,Inbound,AG038,18,364.0,5.0,14,Otros,1.0,0,2.0,0
LC000182,2025-07-03,04:30,Noche,Jueves,Retail,Inbound,AG018,33,244.5,36.1,5,Cancelacion,1.0,1,3.5,0
LC000183,2025-07-03,04:31,Noche,Jueves,Telco,Chat,AG026,27,378.2,19.4,12,Facturacion,1.0,0,2.5,0
LC000184,2025-07-03,04:37,Noche,Jueves,Banca,Inbound,AG031,46,297.8,5.0,6,Facturacion,1.0,1,4.5,0
LC000185,2025-07-03,05:05,Noche,Jueves,Retail,Chat,AG037,18,0.0,7.6,8,Otros,,0,,1
LC000186,2025-07-03,05:35,Noche,Jueves,Retail,Inbound,AG006,36,36.8,21.4,4,Facturacion,1.0,0,5.0,0
LC000187,2025-07-03,06:24,Noche,Jueves,Banca,Chat,AG041,1,425.1,13.6,14,Soporte tecnico,1.0,0,,0
LC000188,2025-07-03,06:27,Noche,Jueves,Telco,Inbound,AG015,22,48.6,14.1,8,Soporte tecnico,1.0,0,4.0,0
LC000189,2025-07-03,06:36,Noche,Jueves,Banca,Inbound,AG042,47,175.3,5.0,13,Soporte tecnico,1.0,1,,0
LC000190,2025-07-03,06:40,Noche,Jueves,Telco,Outbound,AG026,27,121.8,8.8,8,Facturacion,1.0,0,,0
LC000191,2025-07-03,07:06,Manana,Jueves,Banca,Outbound,AG012,3,299.5,20.9,4,Cancelacion,1.0,1,4.5,0
LC000192,2025-07-03,07:08,Manana,Jueves,Banca,Inbound,AG041,1,303.3,5.0,7,Facturacion,0.0,0,,0
LC000193,2025-07-03,07:23,Manana,Jueves,Banca,Chat,AG014,19,145.0,2417.5,14,Soporte tecnico,1.0,0,,0
LC000194,2025-07-03,07:43,Manana,Jueves,Banca,Outbound,AG001,28,613.0,5.0,13,Soporte tecnico,1.0,0,4.5,0
LC000195,2025-07-03,08:10,Manana,Jueves,Banca,Inbound,AG017,5,110.4,129.8,1,Facturacion,1.0,0,,0
LC000196,2025-07-03,08:12,Manana,Jueves,Telco,Inbound,AG033,29,203.1,18.6,1,Cancelacion,1.0,1,,0
LC000197,2025-07-03,08:34,Manana,Jueves,Banca,Inbound,AG029,33,0.0,60.9,1,Otros,,0,,1
LC000198,2025-07-03,09:08,Manana,Jueves,Banca,Inbound,AG045,4,0.0,8.7,2,Otros,,0,,1
LC000199,2025-07-03,09:22,Manana,Jueves,Telco,Inbound,AG031,46,259.6,100.2,1,Facturacion,1.0,0,,0
LC000200,2025-07-03,10:04,Manana,Jueves,Telco,Outbound,AG008,43,192.1,111.2,3,Soporte tecnico,1.0,0,4.0,0
LC000201,2025-07-03,10:46,Manana,Jueves,Telco,Outbound,AG030,41,0.0,105.1,1,Cancelacion,,0,,1
LC000202,2025-07-03,10:55,Manana,Jueves,Telco,Inbound,AG013,27,574.6,18.6,4,Soporte tecnico,1.0,0,3.5,0
LC000203,2025-07-03,11:00,Manana,Jueves,Retail,Inbound,AG016,1,0.0,311.3,1,Cancelacion,,0,,1
LC000204,2025-07-03,11:00,Manana,Jueves,Telco,Chat,AG002,22,0.0,13.1,4,Otros,,0,,1
LC000205,2025-07-03,11:05,Manana,Jueves,Banca,Inbound,AG045,4,376.7,11.0,4,Facturacion,1.0,0,5.0,0
LC000206,2025-07-03,11:06,Manana,Jueves,Banca,Inbound,AG018,33,0.0,38.4,5,Cancelacion,,0,,1
